trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,3000,50,3,30,0.011162748107521865,0.00027917664986694895,201,0.001232414713790689,5.9973358922987966e-05,0.02421806524863648,0.0005566222212564228,174,0.0032874440164184296,0.00013259781873051793,0.03914525786421412,0.0009014484518783004,1546,0.027610989487057522,0.00037259664640928536,44.87054085731506
1,1000,3000,50,3,30,0.011104863582732284,0.00028793205933544847,208,0.0012117613769956346,5.68794538818099e-05,0.024650795938971605,0.0005681681170934044,179,0.0035878926063405542,0.00014211395482446578,0.03952641713032796,0.0009115754489485197,1482,0.027746807518607426,0.00037630689770801136,38.20214819908142
2,1000,3000,50,3,30,0.01091496745302097,0.0002914217014563141,181,0.00125276090323154,5.933338407275431e-05,0.025519205760993976,0.0005808147993346593,143,0.0034033133330604363,0.0001474154490833541,0.039313574989864104,0.0009001185446469755,1459,0.027158252473206714,0.00036732185784272523,45.65630006790161
3,1000,3000,50,3,30,0.01050764751806828,0.0002821651528135051,177,0.0012274863741727282,5.850495836380608e-05,0.025037914863901407,0.0005736510164909745,150,0.003473717028636849,0.00014219363745662827,0.040703169858435195,0.0009283553245236264,1514,0.02774304502410377,0.00037591724748895806,44.39440202713013
4,1000,3000,50,3,30,0.011191026523562781,0.0002874588422719169,157,0.00116024078294651,5.590693878882195e-05,0.025070760405118988,0.0005696954673402107,155,0.003477433765990062,0.0001386896073277325,0.039227134802590664,0.0008986152388738345,1442,0.026866707088659743,0.0003632627135037701,46.80891489982605
