trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,3000,50,3,50,0.011404949140553232,0.000300862473544867,177,0.0012003958109128186,5.590697568181455e-05,0.025236150018160906,0.0005799789690473148,153,0.003699193982993163,0.00015304229806759037,0.03887450614497056,0.0008886784672624037,1465,0.027036504033137045,0.00036554063276709943,49.03833079338074
1,1000,3000,50,3,50,0.01197782392278638,0.00029590323983105126,217,0.0012879871537045205,5.998997615516046e-05,0.024599042668660597,0.000563056571935107,163,0.0033892213912201145,0.00013939287262832906,0.03928395411980037,0.0008989793309379931,1521,0.02765766672438507,0.0003738470809377296,39.80557918548584
2,1000,3000,50,3,50,0.012804173732346037,0.00033801870362758706,161,0.001226771494670762,6.0567559659195016e-05,0.024553288547269545,0.0005633459101273481,172,0.003521474495488118,0.00013443043853809294,0.03880022720771712,0.0008920092613342697,1448,0.026921550101805858,0.00036470824017770736,38.15034794807434
3,1000,3000,50,3,50,0.01233341943035723,0.0003146305591920718,185,0.0013491288964889716,6.429271976990049e-05,0.025585489799398665,0.0005844533181232715,183,0.003999648470090329,0.00015897849626827799,0.04002625903018777,0.0009125898496372332,1462,0.02756693196546258,0.0003717725067839367,41.149195194244385
4,1000,3000,50,3,50,0.011656730005723875,0.0002849701684492275,185,0.0012498070550511818,6.0802075627760515e-05,0.025749116425934374,0.0005915847598752416,165,0.0036896531225553615,0.00014265863161619198,0.03974258532543091,0.0009073533740694609,1499,0.027177110429569794,0.00036862479898834067,42.009093046188354
