trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,1100,50,3,100,0.014187472659084628,0.0003453925331779411,60,0.0021885604836166467,0.00015083376575667106,0.026917097361322848,0.0006110783569733608,24,0.0048779703307735645,0.0004533998848580036,0.03718696625101727,0.0008514784162370019,507,0.035397305403484416,0.0007790743266885181,47.6621789932251
1,1000,1100,50,3,100,0.013695941917472091,0.000342263534652704,79,0.002446094510416192,0.00016203147747771726,0.026520738771174196,0.0006088045657055354,32,0.004515963957703767,0.0004436232599212985,0.03765911041623497,0.0008640608732981723,502,0.03635918171285982,0.0007935632294585926,34.181560039520264
2,1000,1100,50,3,100,0.012946871446566853,0.00032156406473503926,80,0.0020855784574544214,0.00014445104638840408,0.02544057334620761,0.0005815396335208239,50,0.0042847284642615465,0.0003587381296397966,0.037386190956972994,0.0008512736837442072,553,0.03590894344694277,0.0007869936142570191,37.87680792808533
3,1000,1100,50,3,100,0.01376333531098766,0.00033367664172153565,84,0.0023866595746998365,0.00015927730639783735,0.026619019329063097,0.0006091453231618245,38,0.004864052470673689,0.00045316168041737933,0.03674346965694535,0.000840063520612904,516,0.03521500016531828,0.0007731343588863722,46.91863489151001
4,1000,1100,50,3,100,0.013426230948867104,0.0003293868134301724,65,0.0021717533869885374,0.00015227719606398035,0.026713991112364475,0.0006113013412189731,17,0.0043923302139024,0.0004642986890763492,0.036505700831052354,0.0008370582899403871,548,0.0348951962704122,0.0007701238287664828,47.38410186767578
