trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,1500,50,3,100,0.014567178015405581,0.0003546408981503986,119,0.001961422246323405,0.0001163082876726473,0.025303938400988272,0.0005793007555308744,66,0.003755008384781045,0.00024422510654561216,0.03763872731941808,0.0008610959469636982,734,0.032556510447942645,0.0006160872036607729,39.44942116737366
1,1000,1500,50,3,100,0.013513601430192231,0.00034222512813927283,83,0.0018366760668284434,0.00011362825074469321,0.02553133612607579,0.0005864148250018763,59,0.004312586797698101,0.00030166765791493475,0.037309543636732494,0.0008443901777461823,734,0.03220782096580705,0.0006065375368268838,40.35855579376221
2,1000,1500,50,3,100,0.01318208051767165,0.0003215553167062672,113,0.0019368283264781102,0.00011540368576843251,0.024839925252567608,0.0005712656641223278,79,0.004355004558597633,0.0002895941044174021,0.03666728240542346,0.0008427527217721581,720,0.03254468418680814,0.0006179923055518069,31.265212059020996
3,1000,1500,50,3,100,0.01370604289765484,0.0003414698771611064,101,0.0017153425473123006,0.00010458108215463628,0.025625652307491743,0.0005836785840737656,67,0.004000963089288885,0.0002703345301842785,0.03759991336640671,0.0008629669726923674,735,0.03251675868167188,0.0006103935507653305,40.776803731918335
4,1000,1500,50,3,100,0.013964958282565627,0.0003444748818181039,95,0.0018421575950929843,0.00011622192889848447,0.025727363700052852,0.0005885170429973483,59,0.0037273412804534967,0.0003073510995346759,0.037494789264108104,0.0008555187737946765,764,0.03215271567213939,0.0006095817893404157,40.17370295524597
