trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,5000,50,3,30,0.01070388463984145,0.0002773936411034329,295,0.0010825249103008365,3.9142598526061496e-05,0.024859931622824905,0.0005690943229572026,259,0.003244206089653578,9.81271569262631e-05,0.04264965957313002,0.0009749108474346633,2518,0.024361396497665857,0.00026042407648789077,66.01331901550293
1,1000,5000,50,3,30,0.010994494484712401,0.00028693926869082604,268,0.00098670977597608,3.830487607924665e-05,0.0256374935968245,0.000585100268649012,243,0.0032448955105733616,0.00010196336001880295,0.04270284234291218,0.0009729821346303122,2437,0.0239224425630164,0.00025539488432268945,69.49981188774109
2,1000,5000,50,3,30,0.011186155447610126,0.00029144939958854194,306,0.001049159212155687,3.9162544476614025e-05,0.02549512747491415,0.0005833790575257823,292,0.003311463918124332,9.879737295204517e-05,0.042278218503498464,0.0009626060847729433,2450,0.023998417826491165,0.0002556622134758558,65.00149178504944
3,1000,5000,50,3,30,0.010842661272783957,0.00028514605115233346,299,0.001001859466416135,3.776962279941055e-05,0.025696933116458983,0.0005838809664959804,291,0.0033800657414433913,0.00010137261019791766,0.04191926423003602,0.0009584300760887425,2543,0.02392590914238828,0.0002546869986902216,62.92643618583679
4,1000,5000,50,3,30,0.010382850428056922,0.00027605257259734285,267,0.0009573478118395059,3.7482784918263006e-05,0.02564327862333776,0.0005873642963983879,274,0.0034499810961748623,0.00010192416772150412,0.042062922963885835,0.0009723683097234613,2366,0.02405368092102835,0.00025651516588353577,61.02895402908325
