trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,1100,50,3,30,0.010664516309197423,0.00027327549263375737,74,0.002015309717969228,0.0001427846057245514,0.027551507697110532,0.0006301762542108754,42,0.005348252675912916,0.0004937956513943923,0.03733676300282453,0.0008616035108301022,542,0.03627067795123564,0.0007919290212969503,32.81396412849426
1,1000,1100,50,3,30,0.011595303630281766,0.00030247311526870586,84,0.0023241395401319594,0.00015887171222725272,0.02596884007575692,0.0005920651603706632,31,0.0039826017311806764,0.00040112001273658385,0.03834828248993378,0.0008664816066993706,532,0.036744198673238596,0.0008086012651308494,29.823113918304443
2,1000,1100,50,3,30,0.0108977795557891,0.00028123900507820855,66,0.0020514631237709326,0.00013762307285497443,0.026835151012963465,0.0006107195487039609,23,0.0050554070352215475,0.00048134332809209366,0.03663739233081952,0.0008408241514644434,525,0.03536828596939443,0.0007744517452895232,26.090871810913086
3,1000,1100,50,3,30,0.011825113227462351,0.0003232397572589152,77,0.002196430669071655,0.00014758608230340512,0.025871532583071198,0.0005926599515455408,42,0.0043796753969991605,0.00035567201910580783,0.037522021680191545,0.000854530320046893,514,0.03616266867223164,0.0007949584502480192,26.500508785247803
4,1000,1100,50,3,30,0.011041233170951681,0.0002924665281744911,85,0.0022478756048690475,0.00015160680198880415,0.02732678203681401,0.0006256437160738787,48,0.005822057756712681,0.00051739568364869,0.036344006580537325,0.0008360546695153803,526,0.03529922816162914,0.0007721050781804457,40.12898802757263
