trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,1500,50,3,30,0.011595727480822339,0.00030168625593453605,86,0.0015760505201952164,0.00010161615737277433,0.025569222509047102,0.0005840302304562753,74,0.0041161844227489,0.00026136263878400525,0.03705658258194521,0.0008557399982843394,759,0.03224016126782094,0.000609391266325132,29.733633041381836
1,1000,1500,50,3,30,0.010850414305736791,0.0002735865665751347,94,0.0014458223584828097,9.968100061229808e-05,0.02509212581984607,0.0005730005606897135,70,0.004239685801114421,0.00028638790505109427,0.03742338547605844,0.000848959142021015,765,0.032318267919764755,0.0006028131535524425,33.14081692695618
2,1000,1500,50,3,30,0.011218531032147877,0.00029225237323321615,88,0.00178775030579566,0.0001124365351443622,0.02593379215633098,0.0005925201099183042,66,0.00454878282345624,0.0003128880019106913,0.037553416419036464,0.0008595458121293877,736,0.032439128107104996,0.0006117292408165399,36.95395803451538
3,1000,1500,50,3,30,0.011071797962344629,0.00027914282051002816,106,0.0018665221616980298,0.0001132542920897284,0.024683438191556373,0.0005623758561834306,55,0.0037139961613872974,0.0002742570073087149,0.03764873672467416,0.0008562479070620156,734,0.03275710551690434,0.0006207615960651747,36.56112313270569
4,1000,1500,50,3,30,0.010911823112175674,0.0002766378435450051,92,0.0017834397866547487,0.00010924013622237133,0.025499422792280044,0.0005871647968905589,75,0.004358039330917863,0.00027750400544442066,0.038977537143623495,0.0008946322146629666,728,0.03362593956157687,0.0006358987648913081,35.877740144729614
