trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,3000,50,3,100,0.014299613979466615,0.000361317965234572,171,0.001277452560502668,6.156537162991008e-05,0.02443617285349409,0.0005571010374203696,139,0.003047101509644969,0.00012580732103599924,0.03875217559876549,0.0008868273253410595,1455,0.02729360606015383,0.0003683395246771176,43.49001097679138
1,1000,3000,50,3,100,0.014028360042995288,0.0003464997866322496,203,0.0012714994854431047,6.192781066716203e-05,0.025256939145758536,0.0005762077537158256,162,0.0033694837698263987,0.00014318480246611282,0.039833838865139456,0.0009084089039883876,1521,0.02721134060847363,0.00036974138973275755,48.704663038253784
2,1000,3000,50,3,100,0.013863780077747233,0.000351443144870574,207,0.0013737761838152711,6.279333546832014e-05,0.02402889998945642,0.0005488871830067236,159,0.003103975744272423,0.0001313904031755942,0.03760781970633106,0.0008602753635301146,1457,0.026557491439368447,0.0003587832154241776,43.51352119445801
3,1000,3000,50,3,100,0.013223658349197791,0.0003386206683987007,173,0.001172702471645422,5.5300718002563975e-05,0.025445080067808483,0.0005815308212192956,126,0.0031232184828385084,0.00012984858199805086,0.039415738928146704,0.00090770217843139,1482,0.02711743749694091,0.0003659389659541131,50.46881723403931
4,1000,3000,50,3,100,0.012053937335939057,0.0003103085360376896,192,0.0012664520966353266,5.914401111491597e-05,0.024969609335853134,0.0005668647157477297,167,0.003422418736910235,0.0001375073127904455,0.039697037416901795,0.0009028685970697486,1560,0.027523003011668767,0.00037165295226296893,42.71616005897522
