trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,5000,50,3,50,0.012154193024782208,0.0003186212290758063,278,0.0009398751756639575,3.7195189065562616e-05,0.025960486030908895,0.0005915820910962028,300,0.00333594291800958,9.861060342124433e-05,0.04320958622278824,0.0009884555349693525,2565,0.02395619998887519,0.0002561646773326142,64.2590320110321
1,1000,5000,50,3,50,0.013075839055162025,0.0003413892841998407,293,0.0010447982262913093,4.125736348597387e-05,0.025204667998706482,0.0005764187084012385,258,0.00317565739294374,9.701147568603075e-05,0.042003869037977,0.0009534322431976762,2470,0.023732260021838553,0.0002534480071488585,66.90188312530518
2,1000,5000,50,3,50,0.01135681838860769,0.0002762350088580311,273,0.0010443706934922911,4.066998368132729e-05,0.025217466800625508,0.0005774442707170645,284,0.0032706957453460276,9.8779945937601e-05,0.04179394443922533,0.0009606862929525769,2442,0.024175243976349636,0.00025780614699314006,63.17995476722717
3,1000,5000,50,3,50,0.012017446165438421,0.0002948224046885195,316,0.0010268227732868735,3.8477065436730346e-05,0.02517273769624889,0.0005689432574095543,323,0.003428738916985016,9.985369440604923e-05,0.04070269960291867,0.0009314222288496566,2528,0.023624239251911705,0.00025196665612246046,62.90338206291199
4,1000,5000,50,3,50,0.011768993891538095,0.000304291708978682,283,0.0009466624227277756,3.7659831326485644e-05,0.025578031200294858,0.0005822986572043197,291,0.0034467180822530664,0.00010333507383012254,0.04360126197849321,0.0010049638725254566,2491,0.024408447858463134,0.00026023559663773763,68.3502688407898
