trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,1100,50,3,50,0.012660918989237564,0.00031592399569392923,87,0.0022802005786792035,0.00015574531792240045,0.027073401161470088,0.0006197835732599376,39,0.004707181748088949,0.0004946137364869516,0.03655417935287024,0.000838684623440283,564,0.03507199749337846,0.0007706114614296803,46.01599383354187
1,1000,1100,50,3,50,0.011846501056651311,0.00029305575163865406,71,0.0022064815902405727,0.00015259413668232432,0.026996701035698862,0.000616133966052164,32,0.005271446492596308,0.0004790332369240219,0.0368985375399373,0.0008439860306515575,536,0.03640865084855301,0.0007952559788893952,38.32552909851074
2,1000,1100,50,3,50,0.012200978470336852,0.00031871607591186894,82,0.002335745287066164,0.0001593558505623347,0.025651899109927465,0.000588463394505533,39,0.0042456785932796556,0.0003592127843071289,0.037005427415093904,0.0008473906702155788,519,0.03551007880440702,0.000776687540186133,28.985844135284424
3,1000,1100,50,3,50,0.012318461082595936,0.000320923917505444,67,0.0021895538288044716,0.00015551092274494006,0.027016832481584614,0.0006195583206232313,33,0.005079808042236447,0.00047603692446177893,0.036949758134994765,0.0008460022194275936,556,0.03567566670121148,0.0007824723843195257,27.448702096939087
4,1000,1100,50,3,50,0.013339558714361053,0.00035039285391039957,86,0.002223042781385504,0.00014636782312861394,0.025828147786687624,0.0005913926325785746,33,0.0040184389970797495,0.0003744074202450019,0.03739879427653059,0.0008538721346374409,542,0.03583705885347519,0.0007814928156289561,30.52316379547119
