trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,5000,50,3,100,0.013618120931759013,0.00033651394736066857,264,0.0010217790866180892,3.8790485505620265e-05,0.02548399846410045,0.0005867660284584816,302,0.0035085548419050198,0.00010079661672329922,0.042450019844194616,0.000971464091367462,2461,0.024096908591262584,0.00025696116999509384,68.25603723526001
1,1000,5000,50,3,100,0.01244941989665219,0.0003112826481090422,289,0.001036617029690643,4.070082233136936e-05,0.025204071491907478,0.0005779493566601586,314,0.0034455801129135892,0.00010529654755639903,0.042250461220731284,0.0009670240520163727,2428,0.02400926271596477,0.00025599541032607365,65.2405571937561
2,1000,5000,50,3,100,0.013822477529706013,0.0003362830217259155,284,0.0010583184366931646,3.903663766695169e-05,0.025114862937864614,0.0005724138483891435,309,0.0033420848076738353,0.00010045262596581257,0.042257731531061694,0.0009671368388393593,2456,0.023815854247291317,0.00025365050599795416,66.92965006828308
3,1000,5000,50,3,100,0.013596612244677585,0.0003390584949150866,299,0.0010796355348189459,4.16543975219012e-05,0.025764029521482074,0.0005892262029383107,305,0.003722610174905126,0.0001148033676614131,0.042623426110936474,0.0009785710499220256,2533,0.02424834894283384,0.00025912903314760275,68.87458682060242
4,1000,5000,50,3,100,0.012652414263289145,0.0003068813194430133,284,0.0010884665791731927,4.127658322430248e-05,0.024703052843826824,0.0005632414039750909,284,0.0032508466751129577,9.579832550599716e-05,0.04185325814994879,0.0009573270121512842,2420,0.023919715942734076,0.0002551617349999036,65.6635639667511
