trial,n,p,m,k,n_clusters,spca_err_U_l1,spca_err_U_l2,spca_err_V_l0,spca_err_V_l1,spca_err_V_l2,init_err_U_l1,init_err_U_l2,init_err_V_l0,init_err_V_l1,init_err_V_l2,pca_err_U_l1,pca_err_U_l2,pca_err_V_l0,pca_err_V_l1,pca_err_V_l2,spca_time
0,1000,1500,50,3,50,0.011369457847129774,0.0002933439559149247,104,0.001849015699321573,0.00011559279378070503,0.024845412463816264,0.0005685930803350172,66,0.0036070096234048447,0.00024028718811070981,0.0376835183340156,0.0008577227486799941,755,0.032447116330708355,0.0006139704796988675,35.8969988822937
1,1000,1500,50,3,50,0.011589930968614704,0.0003017907537806192,121,0.0018105960544242859,0.00010656786282503018,0.024859879214557054,0.0005685984725573767,69,0.003381913192774721,0.00023229483063868947,0.037041517900350915,0.000845268133406543,759,0.032262468778149644,0.000607962276574675,40.834457874298096
2,1000,1500,50,3,50,0.012273848215487274,0.00030816068871241016,125,0.001854526344426503,0.0001086487660520298,0.025361941928918767,0.0005786013243312708,75,0.004016857780388467,0.0002810344105234474,0.03638005146894889,0.0008349593745772579,747,0.03162165636348998,0.0006006557308901811,34.13758397102356
3,1000,1500,50,3,50,0.012478903813815308,0.0002983986097693216,93,0.0017572808831388448,0.00010999644644286112,0.025556885772629993,0.0005809879315893422,56,0.0037779839345542287,0.00027473203610294786,0.037389203101499034,0.0008554579269681028,727,0.03259034350223363,0.0006140324135062119,41.51631999015808
4,1000,1500,50,3,50,0.012542025688319672,0.00031094300013577734,86,0.0018260776038948048,0.00010790497264445647,0.024856322104256093,0.0005719872048665103,48,0.003617640619563814,0.000275465098414254,0.03657300464949578,0.0008421215107468386,745,0.03201121659965921,0.000600858953201537,41.36843800544739
